Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.5,25.2642463,-28.16363437,-2.899388073
0.55,22.96749668,-26.65517289,-3.687676213
0.6,21.05353858,-25.29391949,-4.240380912
0.65,19.43403566,-24.06236751,-4.628331854
0.7,18.04589026,-22.9445316,-4.898641345
0.75,16.84283089,-21.92624507,-5.083414172
0.8,15.79015397,-20.99516069,-5.205006722
0.85,14.86132138,-20.14062491,-5.279303525
0.9,14.03569242,-19.35350284,-5.317810416
0.95,13.29697176,-18.62598346,-5.329011702
1,12.63212318,-17.95139201,-5.319268825
1.05,12.0305935,-17.32401937,-5.293425874
1.1,11.48374834,-16.73896461,-5.255216269
1.15,10.98445493,-16.19246427,-5.208009339
1.2,10.52676932,-15.68670101,-5.159931689
1.25,10.10569855,-15.21922834,-5.113529787
1.3,9.717017819,-14.78619772,-5.069179899
1.35,9.357128277,-14.3844588,-5.027330525
1.4,9.02294512,-14.01127816,-4.988333044
1.45,8.711809086,-13.66425432,-4.952445235
1.5,8.421415444,-13.34126006,-4.919844617
1.55,8.149756888,-13.04036308,-4.890606195
1.6,7.89507698,-12.75975946,-4.864682481
1.65,7.655832227,-12.49775414,-4.841921915
1.7,7.430660685,-12.25275326,-4.822092578
1.75,7.218356101,-12.02332818,-4.804972079
1.8,7.017846205,-11.8081251,-4.790278892
1.85,6.828174688,-11.60589382,-4.777719137
1.9,6.648485881,-11.41552176,-4.767035876
1.95,6.478011885,-11.23599235,-4.757980467
2,6.316061589,-11.06638358,-4.750321991
