File,Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree),Counter
database/h10_pyramid_0.65/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.65,29.34859436457178,-30.898480654600384,-1.5498862900286028,148
database/h10_pyramid_0.75/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.75,25.435448459204945,-28.220685062801888,-2.7852366035969425,146
database/h10_pyramid_0.55/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.55,34.68470240663082,-34.20332925173057,0.4813731549002469,80
database/h10_pyramid_0.85/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.85,22.443042746158582,-25.991141861315626,-3.5480991151570436,208
database/h10_pyramid_0.95/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.95,20.080617226888315,-24.09118858345082,-4.0105713565625045,55
database/h10_pyramid_0.8/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.8,23.845732893764332,-27.052663335366947,-3.2069304416026156,130
database/h10_pyramid_0.7/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.7,27.25226622051957,-29.49490865175567,-2.2426424312360993,155
database/h10_pyramid_0.5/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.5,38.15317266792088,-36.163903911088845,1.9892687568320326,166
database/h10_pyramid_0.6/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.6,31.79431060300758,-32.45913092179704,-0.6648203187894595,153
database/h10_pyramid_0.9/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,0.9,21.196207032245333,-25.001369336705725,-3.805162304460392,135
database/h10_pyramid_1.4/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.4,13.6261330974288,-18.208199418816623,-4.582066321387822,102
database/h10_pyramid_1.1/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.1,17.342351204445656,-21.74182413799759,-4.399472933551934,143
database/h10_pyramid_1.3/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.3,14.67429717937679,-19.242455324814973,-4.568158145438183,164
database/h10_pyramid_1.2/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.2,15.897155309268898,-20.41883444381987,-4.52167913455097,104
database/h10_pyramid_1.0/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.0,19.0765863423164,-23.24871097346008,-4.1721246311436815,58
database/h10_pyramid_1.35/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.35,14.13080470183814,-18.719559254536435,-4.588754552698294,95
database/h10_pyramid_1.15/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.15,16.588335947004524,-21.048969984684224,-4.4606340376797,217
database/h10_pyramid_1.25/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.25,15.261269056392008,-19.81733921192912,-4.556070155537112,126
database/h10_pyramid_1.05/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.05,18.168177456294615,-22.473878376337574,-4.305700920042959,163
database/h10_pyramid_1.95/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.95,9.782864794294982,-14.372011110358287,-4.589146316063305,461
database/h10_pyramid_1.75/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.75,10.9009064794711,-15.430192870845248,-4.529286391374148,270
database/h10_pyramid_1.85/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.85,10.311668287373928,-14.802054707096394,-4.490386419722466,607
database/h10_pyramid_1.65/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.65,11.561567476141635,-16.064537843295614,-4.50297036715398,322
database/h10_pyramid_1.45/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.45,13.156266443810601,-17.705276374891792,-4.549009931081191,110
database/h10_pyramid_1.55/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.55,12.307475052734125,-16.89656348853415,-4.589088435800024,332
database/h10_pyramid_1.5/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.5,12.717724227703684,-17.309727928063438,-4.592003700359754,389
database/h10_pyramid_1.6/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.6,11.922866461462917,-16.50486909075551,-4.582002629292592,313
database/h10_pyramid_1.9/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.9,10.04030859838101,-14.590630406701317,-4.550321808320307,387
database/h10_pyramid_1.7/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.7,11.22152137687154,-15.786918618131722,-4.565397241260182,304
database/h10_pyramid_1.8/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,1.8,10.598103517787687,-15.183745977756882,-4.585642459969195,388
database/h10_pyramid_2.0/sto-6g/AP1roGSDGeneralized_sen-ov/0/results.out,2.0,9.538293172303824,-14.10374856675058,-4.565455394446756,527
